t,x,y
      0.82000000,             NaN,             NaN
      0.83000000,             NaN,             NaN
      0.84000000,             NaN,             NaN
      0.85000000,             NaN,             NaN
      0.86000000,             NaN,             NaN
      0.87000000,             NaN,             NaN
      0.88000000,             NaN,             NaN
      0.89000000,             NaN,             NaN
      0.90000000,             NaN,             NaN
      0.91000000,             NaN,             NaN
      0.92000000,             NaN,             NaN
      0.93000000,             NaN,             NaN
      0.94000000,             NaN,             NaN
      0.95000000,             NaN,             NaN
      0.96000000,             NaN,             NaN
      0.97000000,             NaN,             NaN
      0.98000000,             NaN,             NaN
      0.99000000,             NaN,             NaN
      1.00000000,             NaN,             NaN
      1.01000000,             NaN,             NaN
      1.02000000,             NaN,             NaN
      1.03000000,             NaN,             NaN
      1.04000000,             NaN,             NaN
      1.05000000,             NaN,             NaN
      1.06000000,             NaN,             NaN
      1.07000000,             NaN,             NaN
      1.08000000,             NaN,             NaN
      1.09000000,             NaN,             NaN
      1.10000000,             NaN,             NaN
      1.11000000,             NaN,             NaN
      1.12000000,             NaN,             NaN
      1.13000000,             NaN,             NaN
      1.14000000,             NaN,             NaN
      1.15000000,             NaN,             NaN
      1.16000000,             NaN,             NaN
      1.17000000,             NaN,             NaN
      1.18000000,             NaN,             NaN
      1.19000000,             NaN,             NaN
      1.20000000,             NaN,             NaN
      1.21000000,             NaN,             NaN
      1.22000000,             NaN,             NaN
      1.23000000,             NaN,             NaN
      1.24000000,             NaN,             NaN
      1.25000000,             NaN,             NaN
      1.26000000,             NaN,             NaN
      1.27000000,             NaN,             NaN
      1.28000000,             NaN,             NaN
      1.29000000,             NaN,             NaN
      1.30000000,             NaN,             NaN
      1.31000000,             NaN,             NaN
      1.32000000,             NaN,             NaN
      1.33000000,             NaN,             NaN
      1.34000000,             NaN,             NaN
      1.35000000,             NaN,             NaN
      1.36000000,             NaN,             NaN
      1.37000000,             NaN,             NaN
      1.38000000,             NaN,             NaN
      1.39000000,             NaN,             NaN
      1.40000000,             NaN,             NaN
      1.41000000,             NaN,             NaN
      1.42000000,             NaN,             NaN
      1.43000000,             NaN,             NaN
      1.44000000,             NaN,             NaN
      1.45000000,             NaN,             NaN
      1.46000000,             NaN,             NaN
      1.47000000,             NaN,             NaN
      1.48000000,             NaN,             NaN
      1.49000000,             NaN,             NaN
      1.50000000,             NaN,             NaN
      1.51000000,             NaN,             NaN
      1.52000000,             NaN,             NaN
      1.53000000,             NaN,             NaN
      1.54000000,             NaN,             NaN
      1.55000000,             NaN,             NaN
      1.56000000,             NaN,             NaN
      1.57000000,             NaN,             NaN
      1.58000000,             NaN,             NaN
      1.59000000,             NaN,             NaN
      1.60000000,             NaN,             NaN
      1.61000000,             NaN,             NaN
      1.62000000,             NaN,             NaN
      1.63000000,             NaN,             NaN
      1.64000000,             NaN,             NaN
      1.65000000,             NaN,             NaN
      1.66000000,             NaN,             NaN
      1.67000000,             NaN,             NaN
      1.68000000,             NaN,             NaN
      1.69000000,             NaN,             NaN
      1.70000000,             NaN,             NaN
      1.71000000,             NaN,             NaN
      1.72000000,             NaN,             NaN
      1.73000000,             NaN,             NaN
      1.74000000,             NaN,             NaN
      1.75000000,             NaN,             NaN
      1.76000000,             NaN,             NaN
      1.77000000,             NaN,             NaN
      1.78000000,             NaN,             NaN
      1.79000000,             NaN,             NaN
      1.80000000,             NaN,             NaN
      1.81000000,             NaN,             NaN
      1.82000000,             NaN,             NaN
      1.83000000,             NaN,             NaN
      1.84000000,             NaN,             NaN
      1.85000000,             NaN,             NaN
      1.86000000,             NaN,             NaN
      1.87000000,             NaN,             NaN
      1.88000000,             NaN,             NaN
      1.89000000,             NaN,             NaN
      1.90000000,             NaN,             NaN
      1.91000000,             NaN,             NaN
      1.92000000,             NaN,             NaN
      1.93000000,             NaN,             NaN
      1.94000000,             NaN,             NaN
      1.95000000,             NaN,             NaN
      1.96000000,             NaN,             NaN
      1.97000000,             NaN,             NaN
      1.98000000,             NaN,             NaN
      1.99000000,             NaN,             NaN
      2.00000000,             NaN,             NaN
      2.01000000,             NaN,             NaN
      2.02000000,             NaN,             NaN
      2.03000000,             NaN,             NaN
      2.04000000,             NaN,             NaN
      2.05000000,             NaN,             NaN
      2.06000000,             NaN,             NaN
      2.07000000,             NaN,             NaN
      2.08000000,             NaN,             NaN
      2.09000000,             NaN,             NaN
      2.10000000,             NaN,             NaN
      2.11000000,             NaN,             NaN
      2.12000000,             NaN,             NaN
      2.13000000,             NaN,             NaN
      2.14000000,             NaN,             NaN
      2.15000000,             NaN,             NaN
      2.16000000,             NaN,             NaN
      2.17000000,             NaN,             NaN
      2.18000000,             NaN,             NaN
      2.19000000,             NaN,             NaN
      2.20000000,             NaN,             NaN
      2.21000000,             NaN,             NaN
      2.22000000,             NaN,             NaN
      2.23000000,             NaN,             NaN
      2.24000000,             NaN,             NaN
      2.25000000,             NaN,             NaN
      2.26000000,             NaN,             NaN
      2.27000000,             NaN,             NaN
      2.28000000,             NaN,             NaN
      2.29000000,             NaN,             NaN
      2.30000000,             NaN,             NaN
      2.31000000,             NaN,             NaN
      2.32000000,             NaN,             NaN
      2.33000000,             NaN,             NaN
      2.34000000,             NaN,             NaN
      2.35000000,             NaN,             NaN
      2.36000000,             NaN,             NaN
      2.37000000,             NaN,             NaN
      2.38000000,             NaN,             NaN
      2.39000000,             NaN,             NaN
      2.40000000,             NaN,             NaN
      2.41000000,             NaN,             NaN
      2.42000000,             NaN,             NaN
      2.43000000,             NaN,             NaN
      2.44000000,             NaN,             NaN
      2.45000000,             NaN,             NaN
      2.46000000,             NaN,             NaN
      2.47000000,             NaN,             NaN
      2.48000000,             NaN,             NaN
      2.49000000,             NaN,             NaN
      2.50000000,             NaN,             NaN
      2.51000000,             NaN,             NaN
      2.52000000,             NaN,             NaN
      2.53000000,             NaN,             NaN
      2.54000000,             NaN,             NaN
      2.55000000,             NaN,             NaN
      2.56000000,             NaN,             NaN
      2.57000000,             NaN,             NaN
      2.58000000,             NaN,             NaN
      2.59000000,             NaN,             NaN
      2.60000000,             NaN,             NaN
      2.61000000,             NaN,             NaN
      2.62000000,             NaN,             NaN
      2.63000000,             NaN,             NaN
      2.64000000,             NaN,             NaN
      2.65000000,             NaN,             NaN
      2.66000000,             NaN,             NaN
      2.67000000,             NaN,             NaN
      2.68000000,             NaN,             NaN
      2.69000000,             NaN,             NaN
      2.70000000,             NaN,             NaN
      2.71000000,             NaN,             NaN
      2.72000000,             NaN,             NaN
      2.73000000,             NaN,             NaN
      2.74000000,             NaN,             NaN
      2.75000000,             NaN,             NaN
      2.76000000,             NaN,             NaN
      2.77000000,             NaN,             NaN
      2.78000000,             NaN,             NaN
      2.79000000,             NaN,             NaN
      2.80000000,             NaN,             NaN
      2.81000000,             NaN,             NaN
      2.82000000,             NaN,             NaN
      2.83000000,             NaN,             NaN
      2.84000000,             NaN,             NaN
      2.85000000,             NaN,             NaN
      2.86000000,             NaN,             NaN
      2.87000000,             NaN,             NaN
      2.88000000,             NaN,             NaN
      2.89000000,             NaN,             NaN
      2.90000000,             NaN,             NaN
      2.91000000,             NaN,             NaN
      2.92000000,             NaN,             NaN
      2.93000000,             NaN,             NaN
      2.94000000,             NaN,             NaN
      2.95000000,             NaN,             NaN
      2.96000000,             NaN,             NaN
      2.97000000,             NaN,             NaN
      2.98000000,             NaN,             NaN
      2.99000000,             NaN,             NaN
      3.00000000,             NaN,             NaN
      3.01000000,             NaN,             NaN
      3.02000000,             NaN,             NaN
      3.03000000,             NaN,             NaN
      3.04000000,             NaN,             NaN
      3.05000000,             NaN,             NaN
      3.06000000,             NaN,             NaN
      3.07000000,             NaN,             NaN
      3.08000000,             NaN,             NaN
      3.09000000,             NaN,             NaN
      3.10000000,             NaN,             NaN
      3.11000000,             NaN,             NaN
      3.12000000,             NaN,             NaN
      3.13000000,             NaN,             NaN
      3.14000000,             NaN,             NaN
      3.15000000,             NaN,             NaN
      3.16000000,             NaN,             NaN
      3.17000000,             NaN,             NaN
      3.18000000,             NaN,             NaN
      3.19000000,             NaN,             NaN
      3.20000000,             NaN,             NaN
      3.21000000,             NaN,             NaN
      3.22000000,             NaN,             NaN
      3.23000000,             NaN,             NaN
      3.24000000,             NaN,             NaN
      3.25000000,             NaN,             NaN
      3.26000000,             NaN,             NaN
      3.27000000,             NaN,             NaN
      3.28000000,             NaN,             NaN
      3.29000000,             NaN,             NaN
      3.30000000,             NaN,             NaN
      3.31000000,             NaN,             NaN
      3.32000000,             NaN,             NaN
      3.33000000,             NaN,             NaN
      3.34000000,             NaN,             NaN
      3.35000000,             NaN,             NaN
      3.36000000,             NaN,             NaN
      3.37000000,             NaN,             NaN
      3.38000000,             NaN,             NaN
      3.39000000,             NaN,             NaN
      3.40000000,             NaN,             NaN
      3.41000000,             NaN,             NaN
      3.42000000,             NaN,             NaN
      3.43000000,             NaN,             NaN
      3.44000000,             NaN,             NaN
      3.45000000,             NaN,             NaN
      3.46000000,             NaN,             NaN
      3.47000000,             NaN,             NaN
      3.48000000,             NaN,             NaN
      3.49000000,             NaN,             NaN
      3.50000000,             NaN,             NaN
      3.51000000,             NaN,             NaN
      3.52000000,             NaN,             NaN
      3.53000000,             NaN,             NaN
      3.54000000,             NaN,             NaN
      3.55000000,             NaN,             NaN
      3.56000000,             NaN,             NaN
      3.57000000,             NaN,             NaN
      3.58000000,             NaN,             NaN
      3.59000000,             NaN,             NaN
      3.60000000,             NaN,             NaN
      3.61000000,             NaN,             NaN
      3.62000000,             NaN,             NaN
      3.63000000,             NaN,             NaN
      3.64000000,             NaN,             NaN
      3.65000000,             NaN,             NaN
      3.66000000,             NaN,             NaN
      3.67000000,             NaN,             NaN
      3.68000000,             NaN,             NaN
      3.69000000,             NaN,             NaN
      3.70000000,             NaN,             NaN
      3.71000000,             NaN,             NaN
      3.72000000,             NaN,             NaN
      3.73000000,             NaN,             NaN
      3.74000000,             NaN,             NaN
      3.75000000,             NaN,             NaN
      3.76000000,             NaN,             NaN
      3.77000000,             NaN,             NaN
      3.78000000,             NaN,             NaN
      3.79000000,             NaN,             NaN
      3.80000000,             NaN,             NaN
      3.81000000,             NaN,             NaN
      3.82000000,             NaN,             NaN
      3.83000000,             NaN,             NaN
      3.84000000,             NaN,             NaN
      3.85000000,             NaN,             NaN
      3.86000000,             NaN,             NaN
      3.87000000,             NaN,             NaN
      3.88000000,             NaN,             NaN
      3.89000000,             NaN,             NaN
      3.90000000,             NaN,             NaN
      3.91000000,             NaN,             NaN
      3.92000000,             NaN,             NaN
      3.93000000,             NaN,             NaN
      3.94000000,             NaN,             NaN
      3.95000000,             NaN,             NaN
      3.96000000,             NaN,             NaN
      3.97000000,             NaN,             NaN
      3.98000000,             NaN,             NaN
      3.99000000,             NaN,             NaN
      4.00000000,             NaN,             NaN
      4.01000000,             NaN,             NaN
      4.02000000,             NaN,             NaN
      4.03000000,             NaN,             NaN
      4.04000000,             NaN,             NaN
      4.05000000,             NaN,             NaN
      4.06000000,             NaN,             NaN
      4.07000000,             NaN,             NaN
      4.08000000,             NaN,             NaN
      4.09000000,             NaN,             NaN
      4.10000000,             NaN,             NaN
      4.11000000,             NaN,             NaN
      4.12000000,             NaN,             NaN
      4.13000000,             NaN,             NaN
      4.14000000,             NaN,             NaN
      4.15000000,             NaN,             NaN
      4.16000000,             NaN,             NaN
      4.17000000,             NaN,             NaN
      4.18000000,             NaN,             NaN
      4.19000000,             NaN,             NaN
      4.20000000,             NaN,             NaN
      4.21000000,             NaN,             NaN
      4.22000000,             NaN,             NaN
      4.23000000,             NaN,             NaN
      4.24000000,             NaN,             NaN
      4.25000000,             NaN,             NaN
      4.26000000,             NaN,             NaN
      4.27000000,             NaN,             NaN
      4.28000000,             NaN,             NaN
      4.29000000,             NaN,             NaN
      4.30000000,             NaN,             NaN
      4.31000000,             NaN,             NaN
      4.32000000,             NaN,             NaN
      4.33000000,             NaN,             NaN
      4.34000000,             NaN,             NaN
      4.35000000,             NaN,             NaN
      4.36000000,             NaN,             NaN
      4.37000000,             NaN,             NaN
      4.38000000,             NaN,             NaN
      4.39000000,             NaN,             NaN
      4.40000000,             NaN,             NaN
      4.41000000,             NaN,             NaN
      4.42000000,             NaN,             NaN
      4.43000000,             NaN,             NaN
      4.44000000,             NaN,             NaN
      4.45000000,             NaN,             NaN
      4.46000000,             NaN,             NaN
      4.47000000,             NaN,             NaN
      4.48000000,             NaN,             NaN
      4.49000000,             NaN,             NaN
      4.50000000,             NaN,             NaN
      4.51000000,             NaN,             NaN
      4.52000000,             NaN,             NaN
      4.53000000,             NaN,             NaN
      4.54000000,             NaN,             NaN
      4.55000000,             NaN,             NaN
      4.56000000,             NaN,             NaN
      4.57000000,             NaN,             NaN
      4.58000000,             NaN,             NaN
      4.59000000,             NaN,             NaN
      4.60000000,             NaN,             NaN
      4.61000000,             NaN,             NaN
      4.62000000,             NaN,             NaN
      4.63000000,             NaN,             NaN
      4.64000000,             NaN,             NaN
      4.65000000,             NaN,             NaN
      4.66000000,             NaN,             NaN
      4.67000000,             NaN,             NaN
      4.68000000,             NaN,             NaN
      4.69000000,             NaN,             NaN
      4.70000000,             NaN,             NaN
      4.71000000,             NaN,             NaN
      4.72000000,             NaN,             NaN
      4.73000000,             NaN,             NaN
      4.74000000,             NaN,             NaN
      4.75000000,             NaN,             NaN
      4.76000000,             NaN,             NaN
      4.77000000,             NaN,             NaN
      4.78000000,             NaN,             NaN
      4.79000000,             NaN,             NaN
      4.80000000,             NaN,             NaN
      4.81000000,             NaN,             NaN
      4.82000000,             NaN,             NaN
      4.83000000,             NaN,             NaN
      4.84000000,             NaN,             NaN
      4.85000000,             NaN,             NaN
      4.86000000,             NaN,             NaN
      4.87000000,             NaN,             NaN
      4.88000000,             NaN,             NaN
      4.89000000,             NaN,             NaN
      4.90000000,             NaN,             NaN
      4.91000000,             NaN,             NaN
      4.92000000,             NaN,             NaN
      4.93000000,             NaN,             NaN
      4.94000000,             NaN,             NaN
      4.95000000,             NaN,             NaN
      4.96000000,             NaN,             NaN
      4.97000000,             NaN,             NaN
      4.98000000,             NaN,             NaN
      4.99000000,             NaN,             NaN
      5.00000000,             NaN,             NaN
      5.01000000,             NaN,             NaN
      5.02000000,             NaN,             NaN
      5.03000000,             NaN,             NaN
      5.04000000,             NaN,             NaN
      5.05000000,             NaN,             NaN
      5.06000000,             NaN,             NaN
      5.07000000,             NaN,             NaN
      5.08000000,             NaN,             NaN
      5.09000000,             NaN,             NaN
      5.10000000,             NaN,             NaN
      5.11000000,             NaN,             NaN
      5.12000000,             NaN,             NaN
      5.13000000,             NaN,             NaN
      5.14000000,             NaN,             NaN
      5.15000000,             NaN,             NaN
      5.16000000,             NaN,             NaN
      5.17000000,             NaN,             NaN
      5.18000000,             NaN,             NaN
      5.19000000,             NaN,             NaN
      5.20000000,             NaN,             NaN
      5.21000000,             NaN,             NaN
      5.22000000,             NaN,             NaN
      5.23000000,             NaN,             NaN
      5.24000000,             NaN,             NaN
      5.25000000,             NaN,             NaN
      5.26000000,             NaN,             NaN
      5.27000000,             NaN,             NaN
      5.28000000,             NaN,             NaN
      5.29000000,             NaN,             NaN
      5.30000000,             NaN,             NaN
      5.31000000,             NaN,             NaN
      5.32000000,             NaN,             NaN
      5.33000000,             NaN,             NaN
      5.34000000,             NaN,             NaN
      5.35000000,             NaN,             NaN
      5.36000000,             NaN,             NaN
      5.37000000,             NaN,             NaN
      5.38000000,             NaN,             NaN
      5.39000000,             NaN,             NaN
      5.40000000,             NaN,             NaN
      5.41000000,             NaN,             NaN
      5.42000000,             NaN,             NaN
      5.43000000,             NaN,             NaN
      5.44000000,             NaN,             NaN
      5.45000000,             NaN,             NaN
      5.46000000,             NaN,             NaN
      5.47000000,             NaN,             NaN
      5.48000000,             NaN,             NaN
      5.49000000,             NaN,             NaN
      5.50000000,             NaN,             NaN
      5.51000000,             NaN,             NaN
      5.52000000,             NaN,             NaN
      5.53000000,             NaN,             NaN
      5.54000000,             NaN,             NaN
      5.55000000,             NaN,             NaN
      5.56000000,             NaN,             NaN
      5.57000000,             NaN,             NaN
      5.58000000,             NaN,             NaN
      5.59000000,             NaN,             NaN
      5.60000000,             NaN,             NaN
      5.61000000,             NaN,             NaN
      5.62000000,             NaN,             NaN
      5.63000000,             NaN,             NaN
      5.64000000,             NaN,             NaN
      5.65000000,             NaN,             NaN
      5.66000000,             NaN,             NaN
      5.67000000,             NaN,             NaN
      5.68000000,             NaN,             NaN
      5.69000000,             NaN,             NaN
      5.70000000,             NaN,             NaN
      5.71000000,             NaN,             NaN
      5.72000000,             NaN,             NaN
      5.73000000,             NaN,             NaN
      5.74000000,             NaN,             NaN
      5.75000000,             NaN,             NaN
      5.76000000,             NaN,             NaN
      5.77000000,             NaN,             NaN
      5.78000000,             NaN,             NaN
      5.79000000,             NaN,             NaN
      5.80000000,             NaN,             NaN
      5.81000000,             NaN,             NaN
      5.82000000,             NaN,             NaN
      5.83000000,             NaN,             NaN
      5.84000000,             NaN,             NaN
      5.85000000,             NaN,             NaN
      5.86000000,             NaN,             NaN
      5.87000000,             NaN,             NaN
      5.88000000,             NaN,             NaN
      5.89000000,             NaN,             NaN
      5.90000000,             NaN,             NaN
      5.91000000,             NaN,             NaN
      5.92000000,             NaN,             NaN
      5.93000000,             NaN,             NaN
      5.94000000,             NaN,             NaN
      5.95000000,             NaN,             NaN
      5.96000000,             NaN,             NaN
      5.97000000,             NaN,             NaN
      5.98000000,             NaN,             NaN
      5.99000000,             NaN,             NaN
      6.00000000,             NaN,             NaN
      6.01000000,             NaN,             NaN
      6.02000000,             NaN,             NaN
      6.03000000,             NaN,             NaN
      6.04000000,             NaN,             NaN
      6.05000000,             NaN,             NaN
      6.06000000,             NaN,             NaN
      6.07000000,             NaN,             NaN
      6.08000000,             NaN,             NaN
      6.09000000,             NaN,             NaN
      6.10000000,             NaN,             NaN
      6.11000000,             NaN,             NaN
      6.12000000,             NaN,             NaN
      6.13000000,             NaN,             NaN
      6.14000000,             NaN,             NaN
      6.15000000,             NaN,             NaN
      6.16000000,             NaN,             NaN
      6.17000000,             NaN,             NaN
      6.18000000,             NaN,             NaN
      6.19000000,             NaN,             NaN
      6.20000000,             NaN,             NaN
      6.21000000,             NaN,             NaN
      6.22000000,             NaN,             NaN
      6.23000000,             NaN,             NaN
      6.24000000,             NaN,             NaN
      6.25000000,             NaN,             NaN
      6.26000000,             NaN,             NaN
      6.27000000,             NaN,             NaN
      6.28000000,             NaN,             NaN
      6.29000000,             NaN,             NaN
      6.30000000,             NaN,             NaN
      6.31000000,             NaN,             NaN
      6.32000000,             NaN,             NaN
      6.33000000,             NaN,             NaN
      6.34000000,             NaN,             NaN
      6.35000000,             NaN,             NaN
      6.36000000,             NaN,             NaN
      6.37000000,             NaN,             NaN
      6.38000000,             NaN,             NaN
      6.39000000,             NaN,             NaN
      6.40000000,             NaN,             NaN
      6.41000000,             NaN,             NaN
      6.42000000,             NaN,             NaN
      6.43000000,             NaN,             NaN
      6.44000000,             NaN,             NaN
      6.45000000,             NaN,             NaN
      6.46000000,             NaN,             NaN
      6.47000000,             NaN,             NaN
      6.48000000,             NaN,             NaN
      6.49000000,             NaN,             NaN
      6.50000000,             NaN,             NaN
      6.51000000,             NaN,             NaN
      6.52000000,             NaN,             NaN
      6.53000000,             NaN,             NaN
      6.54000000,             NaN,             NaN
      6.55000000,             NaN,             NaN
      6.56000000,             NaN,             NaN
      6.57000000,             NaN,             NaN
      6.58000000,             NaN,             NaN
      6.59000000,             NaN,             NaN
      6.60000000,             NaN,             NaN
      6.61000000,             NaN,             NaN
      6.62000000,             NaN,             NaN
      6.63000000,             NaN,             NaN
      6.64000000,             NaN,             NaN
      6.65000000,             NaN,             NaN
      6.66000000,             NaN,             NaN
      6.67000000,             NaN,             NaN
      6.68000000,             NaN,             NaN
      6.69000000,             NaN,             NaN
      6.70000000,             NaN,             NaN
      6.71000000,             NaN,             NaN
      6.72000000,             NaN,             NaN
      6.73000000,             NaN,             NaN
      6.74000000,             NaN,             NaN
      6.75000000,             NaN,             NaN
      6.76000000,             NaN,             NaN
      6.77000000,             NaN,             NaN
      6.78000000,             NaN,             NaN
      6.79000000,             NaN,             NaN
      6.80000000,             NaN,             NaN
      6.81000000,             NaN,             NaN
      6.82000000,             NaN,             NaN
      6.83000000,             NaN,             NaN
      6.84000000,             NaN,             NaN
      6.85000000,             NaN,             NaN
      6.86000000,             NaN,             NaN
      6.87000000,             NaN,             NaN
      6.88000000,             NaN,             NaN
      6.89000000,             NaN,             NaN
      6.90000000,             NaN,             NaN
      6.91000000,             NaN,             NaN
      6.92000000,             NaN,             NaN
      6.93000000,             NaN,             NaN
      6.94000000,             NaN,             NaN
      6.95000000,             NaN,             NaN
      6.96000000,             NaN,             NaN
      6.97000000,             NaN,             NaN
      6.98000000,             NaN,             NaN
      6.99000000,             NaN,             NaN
      7.00000000,             NaN,             NaN
      7.01000000,             NaN,             NaN
      7.02000000,             NaN,             NaN
      7.03000000,             NaN,             NaN
      7.04000000,             NaN,             NaN
      7.05000000,             NaN,             NaN
      7.06000000,             NaN,             NaN
      7.07000000,             NaN,             NaN
      7.08000000,             NaN,             NaN
      7.09000000,             NaN,             NaN
      7.10000000,             NaN,             NaN
      7.11000000,             NaN,             NaN
      7.12000000,             NaN,             NaN
      7.13000000,             NaN,             NaN
      7.14000000,             NaN,             NaN
      7.15000000,             NaN,             NaN
      7.16000000,             NaN,             NaN
      7.17000000,             NaN,             NaN
      7.18000000,             NaN,             NaN
      7.19000000,             NaN,             NaN
      7.20000000,             NaN,             NaN
      7.21000000,             NaN,             NaN
      7.22000000,             NaN,             NaN
      7.23000000,             NaN,             NaN
      7.24000000,             NaN,             NaN
      7.25000000,             NaN,             NaN
      7.26000000,             NaN,             NaN
      7.27000000,             NaN,             NaN
      7.28000000,             NaN,             NaN
      7.29000000,             NaN,             NaN
      7.30000000,             NaN,             NaN
      7.31000000,             NaN,             NaN
      7.32000000,             NaN,             NaN
      7.33000000,             NaN,             NaN
      7.34000000,             NaN,             NaN
      7.35000000,             NaN,             NaN
      7.36000000,             NaN,             NaN
      7.37000000,             NaN,             NaN
      7.38000000,             NaN,             NaN
      7.39000000,             NaN,             NaN
      7.40000000,             NaN,             NaN
      7.41000000,             NaN,             NaN
      7.42000000,             NaN,             NaN
      7.43000000,             NaN,             NaN
      7.44000000,             NaN,             NaN
      7.45000000,             NaN,             NaN
      7.46000000,             NaN,             NaN
      7.47000000,             NaN,             NaN
      7.48000000,             NaN,             NaN
      7.49000000,             NaN,             NaN
      7.50000000,             NaN,             NaN
      7.51000000,             NaN,             NaN
      7.52000000,             NaN,             NaN
      7.53000000,             NaN,             NaN
      7.54000000,             NaN,             NaN
      7.55000000,             NaN,             NaN
      7.56000000,             NaN,             NaN
      7.57000000,             NaN,             NaN
      7.58000000,             NaN,             NaN
      7.59000000,             NaN,             NaN
      7.60000000,             NaN,             NaN
      7.61000000,             NaN,             NaN
      7.62000000,             NaN,             NaN
      7.63000000,             NaN,             NaN
      7.64000000,             NaN,             NaN
      7.65000000,             NaN,             NaN
      7.66000000,             NaN,             NaN
      7.67000000,             NaN,             NaN
      7.68000000,             NaN,             NaN
      7.69000000,             NaN,             NaN
      7.70000000,             NaN,             NaN
      7.71000000,             NaN,             NaN
      7.72000000,             NaN,             NaN
      7.73000000,             NaN,             NaN
      7.74000000,             NaN,             NaN
      7.75000000,             NaN,             NaN
      7.76000000,             NaN,             NaN
      7.77000000,             NaN,             NaN
      7.78000000,             NaN,             NaN
      7.79000000,             NaN,             NaN
      7.80000000,             NaN,             NaN
      7.81000000,             NaN,             NaN
      7.82000000,             NaN,             NaN
      7.83000000,             NaN,             NaN
      7.84000000,             NaN,             NaN
      7.85000000,             NaN,             NaN
      7.86000000,             NaN,             NaN
      7.87000000,             NaN,             NaN
      7.88000000,             NaN,             NaN
      7.89000000,             NaN,             NaN
      7.90000000,             NaN,             NaN
      7.91000000,             NaN,             NaN
      7.92000000,             NaN,             NaN
      7.93000000,             NaN,             NaN
      7.94000000,             NaN,             NaN
      7.95000000,             NaN,             NaN
      7.96000000,             NaN,             NaN
      7.97000000,             NaN,             NaN
      7.98000000,             NaN,             NaN
      7.99000000,             NaN,             NaN
      8.00000000,             NaN,             NaN
      8.01000000,             NaN,             NaN
      8.02000000,             NaN,             NaN
      8.03000000,             NaN,             NaN
      8.04000000,             NaN,             NaN
      8.05000000,             NaN,             NaN
      8.06000000,             NaN,             NaN
      8.07000000,             NaN,             NaN
      8.08000000,             NaN,             NaN
      8.09000000,             NaN,             NaN
      8.10000000,             NaN,             NaN
      8.11000000,             NaN,             NaN
      8.12000000,             NaN,             NaN
      8.13000000,             NaN,             NaN
      8.14000000,             NaN,             NaN
      8.15000000,             NaN,             NaN
      8.16000000,             NaN,             NaN
      8.17000000,             NaN,             NaN
      8.18000000,             NaN,             NaN
      8.19000000,             NaN,             NaN
      8.20000000,             NaN,             NaN
      8.21000000,             NaN,             NaN
